"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4795","ENSG00000204574",8098.628,-0.7885053,0.03955368,3.355686e-89,2.869892e-87,"ABCF1","DOWN"
"4796","ENSG00000204576",1034.944,-0.2496895,0.07869575,0.001254443,0.003532773,"PRR3","DOWN"
"4797","ENSG00000204599",810.895,-0.3498262,0.09492893,0.0001585582,0.000515104,"TRIM39","DOWN"
"4798","ENSG00000204604",471.8693,-0.5010943,0.11701294,8.661184e-06,3.312689e-05,"ZNF468","DOWN"
"4799","ENSG00000204619",1865.783,-0.2238361,0.05619491,5.891493e-05,0.0002031819,"PPP1R11","DOWN"
"4800","ENSG00000204628",44660.74,-0.2731914,0.03168898,5.397926e-18,4.983483e-17,"RACK1","DOWN"
"4801","ENSG00000204673",2489.141,-0.8394075,0.05558325,2.027524e-52,7.192494e-51,"AKT1S1","DOWN"
"4802","ENSG00000204682",538.3411,-0.5546217,0.10108093,1.641894e-08,8.165065e-08,"MIR1915HG","DOWN"
"4803","ENSG00000204713",3193.512,-0.7052081,0.05762065,4.578433e-35,8.789419e-34,"TRIM27","DOWN"
"4804","ENSG00000204745",177.5128,-0.4608233,0.17119313,0.003562438,0.009254202,"LOC102724642","DOWN"
"4805","ENSG00000204802",62.74789,-0.8117211,0.32780133,0.001374311,0.00384483,"FAM88C","DOWN"
"4806","ENSG00000204822",1044.602,-0.5442923,0.08052891,5.843175e-12,3.77982e-11,"MRPL53","DOWN"
"4807","ENSG00000204839",98.44636,-0.4960255,0.23551687,0.01469985,0.03362905,"MROH6","DOWN"
"4808","ENSG00000204843",7423.117,-0.2074297,0.03764828,3.190961e-08,1.552217e-07,"DCTN1","DOWN"
"4809","ENSG00000204859",768.97,-0.5103745,0.11730864,6.181679e-06,2.408595e-05,"ZBTB48","DOWN"
"4810","ENSG00000204922",956.151,-0.277578,0.07736458,0.000265733,0.000832869,"UQCC3","DOWN"
"4811","ENSG00000204991",423.7821,-0.6212574,0.12677664,2.985675e-07,1.323136e-06,"SPIRE2","DOWN"
